State,month,stringency
ME,Nov-20,64.81
MI,Nov-20,50.0
MN,Nov-20,51.85
MO,Nov-20,46.76
MS,Nov-20,51.39
MT,Nov-20,51.85
NC,Nov-20,62.96
ND,Nov-20,48.61
NE,Nov-20,49.07
NH,Nov-20,43.52
NJ,Nov-20,55.56
NM,Nov-20,73.15
NV,Nov-20,49.07
NY,Nov-20,72.69
OH,Nov-20,54.63
OK,Nov-20,43.06
OR,Nov-20,59.26
PA,Nov-20,53.24
RI,Nov-20,63.89
SC,Nov-20,54.63
SD,Nov-20,39.81
TN,Nov-20,54.17
TX,Nov-20,58.8
UT,Nov-20,53.24
VA,Nov-20,50.46
VT,Nov-20,61.57
WA,Nov-20,61.57
WI,Nov-20,56.02
WV,Nov-20,52.78
WY,Nov-20,57.41
AK,Dec-20,65.28
AL,Dec-20,43.52
AR,Dec-20,54.63
AZ,Dec-20,53.7
CA,Dec-20,63.43
CO,Dec-20,57.41
CT,Dec-20,67.59
DC,Dec-20,64.81
DE,Dec-20,58.33
FL,Dec-20,37.96
GA,Dec-20,59.26
HI,Dec-20,73.15
IA,Dec-20,51.85
ID,Dec-20,62.04
IL,Dec-20,61.11
IN,Dec-20,53.24
KS,Dec-20,56.94
KY,Dec-20,60.19
LA,Dec-20,54.63
MA,Dec-20,58.33
MD,Dec-20,65.28
ME,Dec-20,61.11
MI,Dec-20,68.52
MN,Dec-20,69.44
MO,Dec-20,51.39
MS,Dec-20,53.24
MT,Dec-20,50.0
NC,Dec-20,65.74
ND,Dec-20,47.69
NE,Dec-20,53.7
NH,Dec-20,49.07
NJ,Dec-20,56.48
NM,Dec-20,78.7
NV,Dec-20,56.48
NY,Dec-20,72.69
OH,Dec-20,58.33
OK,Dec-20,43.06
OR,Dec-20,61.11
PA,Dec-20,62.5
RI,Dec-20,67.59
SC,Dec-20,49.07
SD,Dec-20,41.67
TN,Dec-20,55.09
TX,Dec-20,53.24
UT,Dec-20,53.24
VA,Dec-20,51.85
VT,Dec-20,69.44
WA,Dec-20,62.04
WI,Dec-20,56.02
WV,Dec-20,52.78
WY,Dec-20,60.19
AK,Jan-21,61.57
AL,Jan-21,43.52
AR,Jan-21,56.48
AZ,Jan-21,57.41
CA,Jan-21,66.2
CO,Jan-21,57.41
CT,Jan-21,67.59
DC,Jan-21,68.52
DE,Jan-21,63.89
FL,Jan-21,47.69
GA,Jan-21,59.26
HI,Jan-21,78.7
IA,Jan-21,43.52
ID,Jan-21,54.63
IL,Jan-21,61.11
IN,Jan-21,54.63
KS,Jan-21,56.94
KY,Jan-21,62.04
LA,Jan-21,58.33
MA,Jan-21,72.22
MD,Jan-21,69.44
ME,Jan-21,61.11
MI,Jan-21,58.33
MN,Jan-21,69.44
MO,Jan-21,47.22
MS,Jan-21,53.24
MT,Jan-21,51.85
NC,Jan-21,66.67
ND,Jan-21,47.69
NE,Jan-21,51.39
NH,Jan-21,49.07
NJ,Jan-21,54.63
NM,Jan-21,75.0
NV,Jan-21,54.63
NY,Jan-21,72.69
OH,Jan-21,58.33
OK,Jan-21,44.44
OR,Jan-21,61.11
PA,Jan-21,63.89
RI,Jan-21,65.74
SC,Jan-21,49.07
SD,Jan-21,41.67
TN,Jan-21,64.81
TX,Jan-21,53.24
UT,Jan-21,54.63
VA,Jan-21,63.89
VT,Jan-21,69.44
WA,Jan-21,62.04
WI,Jan-21,56.02
WV,Jan-21,54.63
WY,Jan-21,66.67
AK,Feb-21,55.09
AL,Feb-21,46.3
AR,Feb-21,59.26
AZ,Feb-21,61.11
CA,Feb-21,61.57
CO,Feb-21,60.65
CT,Feb-21,67.59
DC,Feb-21,64.81
DE,Feb-21,63.89
FL,Feb-21,47.69
GA,Feb-21,59.26
HI,Feb-21,78.7
